,Language,Name,Symbol
491,Belarusian,Voiced dental sibilant fricative,z
492,Belarusian,Voiced retroflex fricative,ʐ
493,Bengali,Voiced bilabial plosive,b
494,Bengali,Voiced dental plosive,d
495,Bengali,Voiced retroflex plosive,ɖ
496,Bengali,Voiced postalveolar affricate,dʒ
497,Bengali,Voiced velar plosive,ɡ
498,Bengali,Voiced glottal fricative,ɦ
499,Bengali,Voiceless glottal fricative,h
500,Bengali,Voiceless velar plosive,k
501,Bengali,Voiced alveolar lateral approximant,l
502,Bengali,Voiced bilabial nasal,m
503,Bengali,Voiced alveolar nasal,n
504,Bengali,Voiced velar nasal,ŋ
505,Bengali,Voiceless bilabial plosive,p
506,Bengali,Voiced dental and alveolar taps and flaps,r
507,Bengali,Voiced retroflex flap,ɽ
508,Bengali,Voiceless alveolar fricative,s
509,Bengali,Voiceless postalveolar fricative,ʃ
510,Bengali,Voiceless dental plosive,t
511,Bengali,Voiceless retroflex plosive,ʈ
512,Bengali,Voiceless postalveolar affricate,tʃ
513,Bengali,Voiced palatal approximant,j
514,Bengali,Voiced labial–velar approximant,w
515,Bengali,Voiced alveolar fricative,z
516,Bengali,Voiced retroflex nasal,ɳ
517,Berber,Voiced bilabial plosive,b
518,Berber,Voiced bilabial fricative,β
519,Berber,Voiceless palatal fricative,ç
520,Berber,Voiced alveolar plosive,d
521,Berber,Voiced alveolar affricate,dz
522,Berber,Voiced postalveolar affricate,dʒ
523,Berber,Voiced dental fricative,ð
524,Berber,Voiceless labiodental fricative,f
525,Berber,Voiced velar plosive,ɡ
526,Berber,Voiced velar fricative,ɣ
527,Berber,Voiceless glottal fricative,h
528,Berber,Voiceless pharyngeal fricative,ħ
529,Berber,Voiced palatal approximant,j
530,Berber,Voiced palatal fricative,ʝ
531,Berber,Voiceless velar plosive,k
532,Berber,Voiced alveolar lateral approximant,l
533,Berber,Voiced bilabial nasal,m
534,Berber,Voiced alveolar nasal,n
535,Berber,Voiceless dental fricative,θ
536,Berber,Voiceless uvular plosive,q
537,Berber,Voiced alveolar trill,r
538,Berber,Voiced uvular fricative,ʁ
539,Berber,Voiceless alveolar fricative,s
540,Berber,Voiceless postalveolar fricative,ʃ
541,Berber,Voiceless alveolar plosive,t
542,Berber,Voiceless alveolar affricate,ts
543,Berber,Voiceless postalveolar affricate,tʃ
544,Berber,Voiced labial–velar approximant,w
545,Berber,Voiceless uvular fricative,χ
546,Berber,Voiced alveolar fricative,z
547,Berber,Voiced postalveolar fricative,ʒ
548,Berber,Voiced pharyngeal fricative,ʕ
549,Breton,Voiced bilabial plosive,b
550,Breton,Voiceless velar fricative,x
551,Breton,Voiced velar fricative,ɣ
552,Breton,Voiced alveolar plosive,d
553,Breton,Voiceless labiodental fricative,f
554,Breton,Voiced velar plosive,ɡ
555,Breton,Voiceless glottal fricative,h
556,Breton,Voiced postalveolar fricative,ʒ
557,Breton,Voiceless velar plosive,k
558,Breton,Voiced alveolar lateral approximant,l
559,Breton,Voiced palatal lateral approximant,ʎ
560,Breton,Voiced bilabial nasal,m
561,Breton,Voiced alveolar nasal,n
562,Breton,Voiced velar nasal,ŋ
563,Breton,Voiced palatal nasal,ɲ
564,Breton,Voiceless bilabial plosive,p
565,Breton,Voiced alveolar trill,r
566,Breton,Voiced uvular fricative,ʁ
567,Breton,Voiceless alveolar fricative,s
568,Breton,Voiceless postalveolar fricative,ʃ
569,Breton,Voiceless alveolar plosive,t
570,Breton,Voiced labiodental fricative,v
571,Breton,Voiced alveolar fricative,z
572,Breton,Voiced palatal approximant,j
